CVE_ENT,POP_TOT,muy_bajo,bajo,medio,alto,muy_alto
,1,2065394,1795967,105485,18295,70764,74883
,2,4397749,3778051,172399,252585,108833,85881
,3,4174066,2616206,426690,391269,692251,47650
,4,928363,542922,255991,50823,78627,0
,5,3146771,3096015,50756,0,0,0
,6,731391,698142,33249,0,0,0
,7,5543828,604147,998167,1177464,1720632,1043418
,8,3741869,3410282,102330,20091,26108,183058
,9,9209944,9209944,0,0,0,0
,10,2891426,2593687,109569,38202,75085,74883
,11,6166934,4517739,1293193,319556,36446,0
,12,3540685,126001,1283999,454607,846227,829851
,13,3082841,1790712,568284,463437,224449,35959
,14,8348151,7807377,430790,57403,23455,29126
,15,16992418,14524012,1351055,516715,600636,0
,16,4722633,2333227,1638000,533993,192737,24676
,17,1971520,1349147,523354,99019,0,0
,18,1235456,928849,209012,24096,0,73499
,19,5784442,5656424,19724,58272,50022,0
,20,4274274,3778051,187660,113931,119078,75554
,21,6555952,3286883,1290244,1076541,789706,112578
,22,2368467,1941421,176413,196115,54518,0
,23,1857985,1617184,46721,154915,39165,0
,24,2801296,1633888,360298,453638,292950,60522
,25,3026943,2526358,366039,108004,26542,0
,26,2944840,2693362,203060,45328,3090,0
,27,2402598,962829,845325,594444,0,0
,28,3527735,3180534,263882,67004,7847,8468
,29,1342977,1138697,190122,14158,0,0
,30,8861026,4050856,1678188,1348395,1359355,424232
,31,2320898,1315659,226086,509281,265907,3965
,32,1622138,1165956,346924,102284,6974,0
