"cve_ent","nom_ent","cve_mun","nom_mun","pob_tot","analf","sbasc","ovsde","ovsee","ovsae","ovpt","vhac","pl_5000","po2sm","im_2020","gm_2020","imn_2020"
"5","Coahuila de Zaragoza","5001","Abasolo",1022,"2.21402214","33.33333333","0.195886386","0","0.391772772","0","8.8397789","100","72.94117647","57.82014772","Muy bajo","0.905383044"
"5","Coahuila de Zaragoza","5005","Candela",1643,"7.41989882","46.12141653","0.791717418","0.426309379","0.913520097","0.730816078","18.93617058","100","75.69296375","55.91949173","Bajo","0.875621416"
"5","Coahuila de Zaragoza","5008","Escobedo",3047,"3.435639029","36.69262483","0.887865834","0.295955278","4.899704045","0.230187438","18.96361542","100","75","56.44349392","Bajo","0.883826561"
"5","Coahuila de Zaragoza","5012","Guerrero",1643,"6.921824104","39.65011447","1.289134438","0.675260896","1.043585021","0.982197667","14.23076916","100","90.81803005","55.6679088","Bajo","0.871681977"
"5","Coahuila de Zaragoza","5013","Hidalgo",1735,"4.816112084","36.44761981","0.173210162","0.519630485","0.866050808","0.866050808","18.94093704","100","89.11564626","56.07160908","Bajo","0.878003362"
"5","Coahuila de Zaragoza","5015","Juárez",1584,"2.867072111","41.20114082","1.201011378","0.442477876","1.011378003","0.442477876","16.49484444","100","77.00170358","56.67700261","Muy bajo","0.887482982"
"5","Coahuila de Zaragoza","5016","Lamadrid",1764,"3.115727003","34.37268003","0.396825397","0.340136054","0.113378685","0","13.92405033","100","73.29650092","57.32618556","Muy bajo","0.897648284"
"5","Coahuila de Zaragoza","5026","Progreso",3239,"3.358843537","42.94774457","0.97668557","0.031505986","0.97668557","0.535601764","17.40020561","100","82.09109731","56.46383023","Bajo","0.884144999"
"5","Coahuila de Zaragoza","5029","Sacramento",2471,"3.412217942","28.83874518","0.607041684","0.040469446","0.080938891","0.121408337","18.75862122","100","68.43291995","57.44330736","Muy bajo","0.899482248"
"7","Chiapas","7058","Nicolás Ruíz",4765,"14.24465027","61.13062919","0.719729043","0.402201524","0.613886537","8.933107536","56.8816185","100","97.58490566","51.48576306","Alto","0.806195396"
"7","Chiapas","7063","Osumacinta",3983,"7.422303473","40.21937843","1.435768262","0.302267003","0.453400504","4.332493703","39.69171524","100","83.46645367","54.5640098","Medio","0.854396455"
"7","Chiapas","7088","Sunuapa",2308,"12.41956242","42.53539254","1.559792028","1.993067591","11.56845754","11.91507799","36.36363602","100","92.72076372","51.74376436","Alto","0.810235337"
"7","Chiapas","7090","Tapalapa",4547,"13.37406653","48.06517312","1.824735301","0.765938274","1.734624916","17.63910791","44.81818008","100","92.1388102","51.84934512","Alto","0.811888585"
"7","Chiapas","7119","Santiago el Pinar",4959,"33.21364452","62.61505056","2.056866304","0.504133898","1.028433152","21.65759226","53.67727661","100","99.2211838","47.99779209","Muy alto","0.751578624"
"7","Chiapas","7120","Capitán Luis Ángel Vidal",4315,"15.14826724","61.08726753","2.457686065","1.391143056","4.219800603","26.13030373","44.58281326","100","97.95109055","50.03816385","Alto","0.783528007"
"8","Chihuahua","8014","Coronado",2034,"3.634003894","41.27190136","1.92687747","1.037549407","0.592885375","0.247035573","7.922272205","100","84.01015228","56.52183227","Bajo","0.88505323"
"8","Chihuahua","8015","Coyame del Sotol",1230,"6.503198294","58.28877005","0.165975104","1.161825726","0.580912863","0.25210084","6.451612949","100","84.23153693","55.91343087","Bajo","0.875526511"
"8","Chihuahua","8016","La Cruz",3704,"3.391645841","37.63206665","0.974817222","0.460330355","0.189547793","0.135391281","11.41630936","100","73.20692498","57.20477212","Muy bajo","0.895747118"
"8","Chihuahua","8022","Dr. Belisario Domínguez",2456,"7.062285434","62.35294118","3.183673469","2.081632653","0.489795918","2.653061224","5.340313911","100","79.79094077","55.18769735","Bajo","0.864162534"
"8","Chihuahua","8024","Santa Isabel",3791,"3.256895979","50.38665366","0.211640212","0.343915344","0.105820106","0.423280423","7.536907673","100","57.94871795","57.73560444","Muy bajo","0.904059213"
"8","Chihuahua","8026","Gran Morelos",2448,"4.897551224","60.76961519","2.607615894","0.869205298","0.745033113","0.82781457","5.726872444","100","74.59954233","56.18244955","Bajo","0.879738969"
"8","Chihuahua","8028","Guadalupe",4237,"3.307888041","44.89180472","0.647016535","0.287562904","0.838725138","0.35945363","13.7197361","100","91.20734908","56.24436732","Bajo","0.880708516"
"8","Chihuahua","8033","Huejotitán",824,"4.99194847","57.97101449","1.213592233","0.242718447","0.970873786","0.121359223","8.185053825","100","84.32055749","56.12890519","Bajo","0.878900539"
"8","Chihuahua","8038","Julimes",4980,"2.599142551","47.77599143","0.884955752","0.341914722","0.502815768","0.100563154","12.17339706","100","70.72434608","57.10094479","Muy bajo","0.894121327"
"8","Chihuahua","8039","López",4122,"4.04138377","38.47397349","1.532278322","0.904295403","0.527505652","1.180607887","12.53943253","100","76.7049291","56.62853357","Muy bajo","0.886724024"
"8","Chihuahua","8041","Maguarichi",1302,"17.61487965","59.40919037","7.275541796","23.60681115","11.91950464","20.04643963","30","100","92.19219219","43.886103","Muy alto","0.687195296"
